zip,district,share
35571,AL-4,1.0000
35572,AL-4,1.0000
35573,AL-4,1.0000
35574,AL-4,0.6590
35574,AL-7,0.3410
35575,AL-4,1.0000
35576,AL-4,0.8039
35576,AL-7,0.1961
35577,AL-4,1.0000
35578,AL-4,1.0000
35579,AL-4,1.0000
35580,AL-4,1.0000
35581,AL-4,1.0000
35582,AL-4,1.0000
35584,AL-4,1.0000
35585,AL-4,1.0000
35586,AL-4,1.0000
35587,AL-4,1.0000
35592,AL-4,1.0000
35593,AL-4,1.0000
35594,AL-4,1.0000
35601,AL-5,1.0000
35603,AL-5,1.0000
35610,AL-5,1.0000
35611,AL-5,1.0000
35613,AL-5,1.0000
35614,AL-5,1.0000
35615,AL-5,1.0000
35616,AL-4,1.0000
35618,AL-5,1.0000
35619,AL-4,0.0016
35619,AL-5,0.9984
35620,AL-5,1.0000
35621,AL-4,0.0332
35621,AL-5,0.9668
35622,AL-4,0.1539
35622,AL-5,0.8461
35630,AL-4,1.0000
35632,AL-4,1.0000
35633,AL-4,1.0000
35634,AL-4,1.0000
35640,AL-5,1.0000
35643,AL-5,1.0000
35645,AL-4,0.6908
35645,AL-5,0.3092
35646,AL-4,1.0000
35647,AL-5,1.0000
35648,AL-4,0.1856
35648,AL-5,0.8144
35649,AL-5,1.0000
35650,AL-5,1.0000
35651,AL-5,1.0000
35652,AL-5,1.0000
35653,AL-4,1.0000
35654,AL-4,0.9208
35654,AL-5,0.0792
35660,AL-4,1.0000
35661,AL-4,1.0000
35670,AL-5,1.0000
35671,AL-5,1.0000
35672,AL-4,0.0549
35672,AL-5,0.9451
35673,AL-5,1.0000
35674,AL-4,1.0000
35677,AL-4,1.0000
35739,AL-5,1.0000
35740,AL-5,1.0000
35741,AL-5,1.0000
35744,AL-5,1.0000
35745,AL-5,1.0000
35746,AL-5,1.0000
35747,AL-4,1.0000
35748,AL-5,1.0000
35749,AL-5,1.0000
35750,AL-5,1.0000
35751,AL-5,1.0000
35752,AL-5,1.0000
35754,AL-4,0.0353
35754,AL-5,0.9647
35755,AL-4,0.7197
35755,AL-5,0.2803
35756,AL-5,1.0000
35757,AL-5,1.0000
35758,AL-5,1.0000
35759,AL-5,1.0000
35760,AL-4,0.0705
35760,AL-5,0.9295
35761,AL-5,1.0000
35763,AL-5,1.0000
35764,AL-5,1.0000
35765,AL-4,0.0556
35765,AL-5,0.9444
